Respondent ID,First Name,Last Name,Job Role,Department,Location,Annual Salary (USD),Salary Status,Years Experience
1001,John,Smith,Manager,Finance,New York,85000,Present,8
1002,Maria,Cruz,Analyst,Finance,California,65000,Present,3
1003,Paul,Jones,Manager,IT,Texas,90000,Present,10
1004,Anna,Lee,Analyst,IT,New York,62000,Present,2
1005,John,Smith,Manager,Finance,New York,85000,Present,8
1006,Kevin,Tan,Associate,HR,Illinois,52000,Present,1
1007,Sarah,O'Neil,Manager,HR,California,78000,Present,7
1008,Michael,Brown,Analyst,Finance,Texas,,Missing,4
1009,Laura,Kim,Associate,IT,California,,Missing,2
,,,,,,,,
Total Reponses,9,,Department,No. of Employees,,,,
Missing Salary,2,,Finance,4,,,,
,,,IT,3,,,,
,,,HR,2,,,,
,,,,,,,,
Job Role,Highest Salary,Lowest Salary,Average Salary,,Location,Highest Salary,Lowest Salary,
Manager,90000,78000,84500,,New York,85000,62000,
Analyst,65000,62000,63500,,California,78000,65000,
Associate,52000,52000,52000,,Texas,90000,90000,
,,,,,Illinois,52000,52000,
